accuracy,precision,recall,f1_score,error,dynamic_C,dynamic_weight
0.6829,0.5284,0.5903,0.5170,0,0,0
0.6639,0.5409,0.6556,0.5458,0,0,1
0.6990,0.5004,0.5790,0.5112,0,1,0
0.6814,0.5580,0.6170,0.5489,0,1,1
0.6988,0.5364,0.6104,0.5455,1,0,0
0.6700,0.5724,0.7062,0.6032,1,0,1
0.6809,0.5179,0.6691,0.5601,1,1,0
0.6572,0.5614,0.7015,0.5864,1,1,1
0.7390,0.4967,0.5116,0.4983,2,0,0
0.6780,0.6032,0.7017,0.6136,2,0,1
0.7442,0.4862,0.5132,0.4938,2,1,0
0.6819,0.5979,0.6902,0.6096,2,1,1
0.7184,0.5133,0.5189,0.5061,3,0,0
0.6758,0.5881,0.6564,0.5900,3,0,1
0.7219,0.4889,0.4902,0.4719,3,1,0
0.6802,0.5846,0.6912,0.6008,3,1,1
